Timestamp,What is your intake?,"Are lecture rooms well-equipped with necessary resources (e.g., desks, power outlets)",Is there sufficient seating in libraries during peak hours?,Are labs well-equipped with the necessary tools and technology?,Are labs regularly maintained?,How satisfied are you with the speed of the Wi-Fi during lecture hours?,How satisfied are you with the cleanliness of classrooms?,How satisfied are you with the cleanliness of the cafeteria?,"Are maintenance requests (e.g., broken equipment, leaks) addressed promptly?","How well-maintained are the classrooms (e.g., desks, boards, lighting)?","Are audio-visual aids (e.g., projectors, microphones) in classrooms functional?",Are the sports facilities adequately maintained?,Is the monthly fee for sports facilities appropriate for you?,"To what extent does your room suffer from insects (e.g., three-cavity ants, mosquitoes, etc.)?",How do you feel about the variety of food in the cafeteria?,How affordable do you think the price of food is?,   How do you feel about the food quality in the cafeteria?,Are emergency services or contact points easily accessible?
11/25/2024 13:37:10,2021,2,4,1,3,3,4,4,4,4,4,4,3,4,4,4,4,3
11/25/2024 13:40:05,2021,4,4,4,2,3,3,3,2,3,3,2,1,1,2,2,2,4
11/25/2024 13:43:00,2020,3,3,3,3,3,3,2,3,3,2,3,2,3,3,3,2,2
11/25/2024 21:18:09,2021,3,3,4,3,2,3,2,2,3,3,3,2,1,3,3,2,3
11/25/2024 21:19:17,2021,3,3,3,3,2,3,2,2,3,3,3,2,3,4,3,2,1
11/25/2024 21:20:21,2024,3,3,3,3,3,3,3,3,4,4,3,2,2,4,4,4,2
11/25/2024 21:20:32,2023,3,3,4,3,2,3,2,2,3,3,3,2,1,3,3,2,4
11/25/2024 21:21:01,2022,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,3
11/25/2024 21:55:20,2021,3,3,4,3,2,3,2,2,3,3,3,2,1,3,3,2,1
11/25/2024 21:55:32,2021,3,3,4,3,2,3,2,2,3,3,3,2,1,3,3,3,2
11/25/2024 23:28:41,2021,2,2,2,2,2,3,2,2,2,2,1,1,1,2,2,1,4
11/25/2024 23:34:55,2021,3,4,2,2,2,3,2,2,3,3,2,1,3,1,2,3,2
11/25/2024 23:54:06,2023,3,3,3,3,2,3,3,3,3,3,2,2,1,1,1,2,3
11/26/2024 9:48:04,2021,3,1,4,4,2,1,3,4,3,2,1,2,3,4,3,2,1
11/26/2024 9:48:15,2024,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2
11/26/2024 9:49:09,2024,4,2,4,4,4,4,3,4,4,4,4,4,4,2,4,3,4
11/26/2024 9:49:15,2024,1,1,1,4,4,4,1,1,1,4,4,3,3,3,2,2,2
11/26/2024 9:49:18,2021,1,3,2,3,1,4,3,3,3,3,3,3,3,3,3,2,2
11/26/2024 9:49:54,2020,2,3,3,2,2,3,3,2,2,3,3,3,1,3,2,3,1
11/26/2024 9:50:01,2021,3,2,3,4,3,3,3,3,3,4,4,4,4,1,2,2,3
11/26/2024 9:50:47,2021,2,3,3,3,2,1,3,1,2,3,3,1,4,1,1,2,4
11/26/2024 9:51:22,2024,4,4,4,4,3,4,4,4,4,2,4,4,1,2,2,4,4
11/26/2024 9:52:15,2023,3,2,2,2,1,3,2,2,2,3,3,2,3,1,1,1,2
11/26/2024 9:52:39,2021,3,2,2,2,2,4,3,3,4,4,2,1,2,2,3,2,2
11/26/2024 9:52:46,2024,4,2,4,4,4,4,3,4,4,4,4,3,4,2,2,3,4
11/26/2024 9:53:52,2024,4,3,1,1,1,3,3,2,3,3,1,2,3,2,2,2,3
11/26/2024 9:53:53,2021,3,4,2,2,2,3,3,3,3,2,3,2,3,3,3,2,3
11/26/2024 9:54:23,2021,4,2,4,1,3,3,2,3,4,3,3,2,3,2,3,2,3
11/26/2024 9:55:46,2021,4,4,4,4,4,2,3,2,4,3,2,1,2,2,1,2,1
11/26/2024 9:56:02,2021,3,3,3,3,4,4,2,3,3,3,3,3,3,4,3,3,2
11/26/2024 9:57:17,2022,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
11/26/2024 9:58:13,2022,4,4,3,3,3,3,3,2,3,3,3,3,2,2,2,3,3
11/26/2024 9:58:48,2021,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,1,2
